,DateTime,zenith,azimuth,Temperature,Temperature_cell
0,2014-01-01-11-10-00,59.72461,164.02344,9.3498535,36.92815116
1,2014-01-01-15-10-00,72.00781,223.23047,11.509766,28.40355076
2,2014-01-02-09-05-00,72.68359,135.74219,0.770874,30.9249935
3,2014-01-02-13-05-00,59.350586,194.65625,8.502686,34.40861043
4,2014-01-03-11-00-00,60.21289,161.16406,5.784668,36.42081268
5,2014-01-03-15-00-00,70.353516,221.21484,9.726074,36.09814059
6,2014-01-04-08-55-00,74.11719,133.57422,7.256592,28.80157889
7,2014-01-04-12-55-00,58.640625,191.83203,13.3498535,36.64235095
8,2014-01-04-16-55-00,88.51953,240.75,10.639893,12.63460119
9,2014-01-05-10-50-00,60.779297,158.33984,-0.2199974,25.12666513
10,2014-01-05-14-50-00,68.734375,219.14844,3.0499878,26.06999418
11,2014-01-06-08-40-00,76.359375,130.5625,-3.079956,20.25734497
12,2014-01-06-12-40-00,57.862305,187.60938,2.5099487,32.65946157
13,2014-01-06-16-40-00,85.5625,238.5664,3.829956,18.48452701
14,2014-01-07-10-30-00,62.30664,153.1289,2.9172363,25.55545811
15,2014-01-07-14-30-00,65.95508,214.8711,5.949951,9.611874415
16,2014-01-08-08-20-00,79.50391,126.81445,0.11419678,19.53239335
17,2014-01-08-12-20-00,57.24707,181.9336,6.2141113,18.20282253
18,2014-01-08-16-20-00,81.80664,235.51172,9.129883,30.86563006
19,2014-01-09-10-10-00,64.15234,148.1289,5.029907,32.587048
20,2014-01-09-14-10-00,63.414062,210.32422,8.935791,30.58090349
21,2014-01-10-08-00-00,82.79297,123.23242,2.184143,20.12390235
22,2014-01-10-12-00-00,57.027344,176.1836,7.7999268,40.89727708
23,2014-01-10-16-00-00,78.16211,232.28906,12.139893,28.00081951
24,2014-01-11-09-50-00,66.28516,143.35156,6.2458496,36.62678264
25,2014-01-11-13-50-00,61.14453,205.5,10.805908,37.55053516
26,2014-01-12-07-35-00,87.10156,119.04883,5.102783,5.481221737
27,2014-01-12-11-35-00,57.38965,169.0664,11.469971,42.76691572
28,2014-01-12-15-35-00,73.87891,227.96484,11.417236,27.97685889
29,2014-01-13-09-20-00,70.05469,136.79688,3.419983,28.39875204
30,2014-01-13-13-20-00,58.506836,197.80469,8.269775,31.33166676
31,2014-01-14-11-05-00,58.694336,160.76562,6.8640137,28.00870021
32,2014-01-14-15-05-00,69.15039,222.29297,11.889893,35.20772841
33,2014-01-15-08-50-00,74.32031,130.7461,1.6499939,27.42876268
34,2014-01-15-12-50-00,56.666016,189.59766,9.569824,38.74581316
35,2014-01-15-16-50-00,85.78516,240.625,11.269775,24.65764357
36,2014-01-16-10-35-00,60.822266,152.83984,6.9473877,34.20460184
37,2014-01-16-14-35-00,64.87305,216.03906,12.049805,40.54394815
38,2014-01-17-08-15-00,79.833984,124.32617,-1.5799866,19.48374366
39,2014-01-17-12-15-00,55.694336,179.6211,8.493652,38.26341635
40,2014-01-17-16-15-00,79.3418,235.28125,9.829834,33.02349083
41,2014-01-18-09-55-00,64.884766,143.16406,3.0999756,35.99105835
42,2014-01-18-13-55-00,60.18457,206.70312,11.277588,42.13850585
43,2014-01-19-07-35-00,86.69141,117.671875,-1.75,12.80642564
44,2014-01-19-11-35-00,56.174805,168.13672,8.059082,40.02857818
45,2014-01-19-15-35-00,72.50391,228.4414,12.397949,38.16345517
46,2014-01-20-09-15-00,70.015625,134.46484,4.9399414,36.57355374
47,2014-01-20-13-15-00,56.73535,196.26953,13.078857,40.71148924
